"","V1","V2.x","V3","V4","V2.y"
"1805","43202",393662,152950,38.85,"熊本県八代市"
"1806","43203",96058,96058,100,"熊本県人吉市"
"1807","43204",89845,87877,97.81,"熊本県荒尾市"
"1808","43205",76612,76612,100,"熊本県水俣市"
"1809","43206",192252,191522,99.62,"熊本県玉名市"
"1810","43208",249275,236542,94.89,"熊本県山鹿市"
"1811","43210",184388,147343,79.91,"熊本県菊池市"
"1812","43211",83350,80650,96.76,"熊本県宇土市"
"1813","43212",137418,137399,99.99,"熊本県上天草市"
"1814","43213",209973,209438,99.75,"熊本県宇城市"
"1815","43214",130727,110677,84.66,"熊本県阿蘇市"
"1816","43215",535295,533470,99.66,"熊本県天草市"
"1817","43216",74276,73966,99.58,"熊本県合志市"
"1818","43348",114946,114946,100,"熊本県美里町"
"1819","43364",24671,24671,100,"熊本県玉東町"
"1820","43367",74163,74163,100,"熊本県南関町"
"1821","43368",30857,30651,99.33,"熊本県長洲町"
"1822","43369",99485,99485,100,"熊本県和水町"
"1823","43403",71941,70337,97.77,"熊本県大津町"
"1824","43404",47583,45764,96.18,"熊本県菊陽町"
"1825","43423",34306,23331,68.01,"熊本県南小国町"
"1826","43424",55690,28779,51.68,"熊本県小国町"
"1827","43425",18685,18671,99.93,"熊本県産山村"
"1828","43427",1,0,0,NA
"1829","43428",57425,44298,77.14,"熊本県高森町"
"1830","43432",26001,24821,95.46,"熊本県西原村"
"1831","43433",66399,66388,99.98,"熊本県南阿蘇村"
"1832","43441",90057,5171,5.74,"熊本県御船町"
"1833","43442",27215,7577,27.84,"熊本県嘉島町"
"1834","43443",76379,10982,14.38,"熊本県益城町"
"1835","43444",59109,59093,99.97,"熊本県甲佐町"
"1836","43447",259971,128224,49.32,"熊本県山都町"
"1837","43468",33269,33164,99.68,"熊本県氷川町"
"1838","43482",113781,113780,100,"熊本県芦北町"
"1839","43484",26916,26916,100,"熊本県津奈木町"
"1840","43501",52476,52476,100,"熊本県錦町"
"1841","43505",51873,23584,45.46,"熊本県多良木町"
"1842","43506",18746,18746,100,"熊本県湯前町"
"1843","43507",17538,17528,99.94,"熊本県水上村"
"1844","43510",33757,33757,100,"熊本県相良村"
"1845","43511",16675,7544,45.24,"熊本県五木村"
"1846","43512",28405,28396,99.97,"熊本県山江村"
"1847","43513",52607,52588,99.96,"熊本県球磨村"
"1848","43514",66872,66844,99.96,"熊本県あさぎり町"
"1849","43531",52411,52411,100,"熊本県苓北町"
"1850","44201",699944,112802,16.12,"大分県大分市"
"1851","44202",129646,13566,10.46,"大分県別府市"
"1852","44203",338919,126631,37.36,"大分県中津市"
"1853","44204",290159,287864,99.21,"大分県日田市"
"1854","44205",378970,286920,75.71,"大分県佐伯市"
"1855","44206",287909,25426,8.83,"大分県臼杵市"
"1856","44207",98411,19092,19.4,"大分県津久見市"
"1857","44208",332643,107421,32.29,"大分県竹田市"
"1858","44209",198988,198078,99.54,"大分県豊後高田市"
"1859","44210",237882,124270,52.24,"大分県杵築市"
"1860","44211",399811,48880,12.23,"大分県宇佐市"
"1861","44212",420626,198886,47.28,"大分県豊後大野市"
"1862","44213",187901,185889,98.93,"大分県由布市"
"1863","44214",291534,282559,96.92,"大分県国東市"
"1864","44322",11499,11488,99.9,"大分県姫島村"
"1865","44341",87026,58497,67.22,"大分県日出町"
"1866","44461",79364,46514,58.61,"大分県九重町"
"1867","44462",107640,40277,37.42,"大分県玖珠町"
"1868","44522",2,1,50,NA
"1869","45201",671969,326951,48.66,"宮崎県宮崎市"
"1870","45202",516986,446843,86.43,"宮崎県都城市"
"1871","45203",343772,123001,35.78,"宮崎県延岡市"
"1872","45204",275736,170911,61.98,"宮崎県日南市"
"1873","45205",225631,130851,57.99,"宮崎県小林市"
"1874","45206",183156,60039,32.78,"宮崎県日向市"
"1875","45207",169723,37266,21.96,"宮崎県串間市"
"1876","45208",169783,55452,32.66,"宮崎県西都市"
"1877","45209",126539,98071,77.5,"宮崎県えびの市"
"1878","45301",114,0,0,NA
"1879","45321",4997,4997,100,NA
"1880","45322",6130,5873,95.81,NA
"1881","45341",62508,60451,96.71,"宮崎県三股町"
"1882","45345",4,4,100,NA
"1883","45361",61235,61235,100,"宮崎県高原町"
"1884","45362",3579,3577,99.94,NA
"1885","45382",90367,55406,61.31,"宮崎県国富町"
"1886","45383",30797,27597,89.61,"宮崎県綾町"
"1887","45401",54205,40662,75.02,"宮崎県高鍋町"
"1888","45402",68218,68218,100,"宮崎県新富町"
"1889","45403",12691,11879,93.6,"宮崎県西米良村"
"1890","45404",29543,29242,98.98,"宮崎県木城町"
"1891","45405",82952,81597,98.37,"宮崎県川南町"
"1892","45406",53592,53103,99.09,"宮崎県都農町"
"1893","45421",51369,50009,97.35,"宮崎県門川町"
"1894","45429",38772,38772,100,"宮崎県諸塚村"
"1895","45430",41769,27685,66.28,"宮崎県椎葉村"
"1896","45431",121396,109654,90.33,"宮崎県美郷町"
"1897","45441",118662,97654,82.3,"宮崎県高千穂町"
"1898","45442",75479,72997,96.71,"宮崎県日之影町"
"1899","45443",50716,42926,84.64,"宮崎県五ヶ瀬町"
"1900","46201",734937,334327,45.49,"鹿児島県鹿児島市"
"1901","46203",334032,240459,71.99,"鹿児島県鹿屋市"
"1902","46204",103836,103836,100,"鹿児島県枕崎市"
"1903","46206",140555,138051,98.22,"鹿児島県阿久根市"
"1904","46208",215715,214404,99.39,"鹿児島県出水市"
"1905","46209",22674,22382,98.71,NA
"1906","46210",178943,163686,91.47,"鹿児島県指宿市"
"1907","46213",116933,69523,59.46,"鹿児島県西之表市"
"1908","46214",84031,43307,51.54,"鹿児島県垂水市"
"1909","46215",474514,469859,99.02,"鹿児島県薩摩川内市"
"1910","46216",317583,317583,100,"鹿児島県日置市"
"1911","46217",308830,308830,100,"鹿児島県曽於市"
"1912","46218",412182,408193,99.03,"鹿児島県霧島市"
"1913","46219",119048,113619,95.44,"鹿児島県いちき串木野市"
"1914","46220",337718,337441,99.92,"鹿児島県南さつま市"
"1915","46221",202622,202617,100,"鹿児島県志布志市"
"1916","46222",119671,53770,44.93,"鹿児島県奄美市"
"1917","46223",432187,432123,99.99,"鹿児島県南九州市"
"1918","46224",172116,170752,99.21,"鹿児島県伊佐市"
"1919","46225",184181,182390,99.03,"鹿児島県姶良市"
"1920","46303",3850,1429,37.12,"鹿児島県三島村"
"1921","46304",11254,4908,43.61,"鹿児島県十島村"
"1922","46392",197639,196214,99.28,"鹿児島県さつま町"
"1923","46404",104731,104631,99.9,"鹿児島県長島町"
"1924","46421",10321,9978,96.68,NA
"1925","46441",6255,6223,99.49,NA
"1926","46442",6841,6841,100,NA
"1927","46443",8164,8093,99.13,NA
"1928","46452",85233,84994,99.72,"鹿児島県湧水町"
"1929","46468",107827,107827,100,"鹿児島県大崎町"
"1930","46482",32736,32736,100,"鹿児島県東串良町"
"1931","46490",61301,57777,94.25,"鹿児島県錦江町"
"1932","46491",91045,45352,49.81,"鹿児島県南大隅町"
"1933","46492",90838,66833,73.57,"鹿児島県肝付町"
"1934","46501",82552,68678,83.19,"鹿児島県中種子町"
"1935","46502",59286,45952,77.51,"鹿児島県南種子町"
"1936","46505",97961,97949,99.99,"鹿児島県屋久島町"
"1937","46523",23702,6631,27.98,"鹿児島県大和村"
"1938","46524",31637,9903,31.3,"鹿児島県宇検村"
"1939","46525",76249,18065,23.69,"鹿児島県瀬戸内町"
"1940","46527",34996,27330,78.09,"鹿児島県龍郷町"
"1941","46529",69628,29847,42.87,"鹿児島県喜界町"
"1942","46530",74237,34095,45.93,"鹿児島県徳之島町"
"1943","46531",36265,19873,54.8,"鹿児島県天城町"
"1944","46532",47281,19243,40.7,"鹿児島県伊仙町"
"1945","46533",43498,43008,98.87,"鹿児島県和泊町"
"1946","46534",45469,44525,97.92,"鹿児島県知名町"
"1947","46535",29716,29716,100,"鹿児島県与論町"
